,GU,XCODE,YCODE,stationName
8973,관악구,126.9332844248,37.475026076700004,현대아파트109동
8974,관악구,126.9668428641,37.4699868514,개미유통
8975,관악구,126.9419749791,37.489041048800004,서울관광고등학교
8976,관악구,126.96197519559999,37.4770791769,낙성대역
8977,관악구,126.9583174158,37.4677295812,서울대호암교수회관
8978,관악구,126.95123723799999,37.4824677496,코업레지던스
8979,관악구,126.9244975914,37.4790379194,관악세무서
8980,관악구,126.9171836708,37.4764738791,난우초등학교
8981,관악구,126.9325313553,37.4750977377,현대아파트106동
8982,관악구,126.965980406,37.46963157,세진아파트
8983,관악구,126.9421498576,37.489563775,수정슈퍼
8984,관악구,126.9591814277,37.4775942987,낙성대입구
8985,관악구,126.9039661652,37.484497230100004,구로디지털단지역
8986,관악구,126.90391320549999,37.4843512081,구로디지털단지역
8987,관악구,126.9195566439,37.4783088382,난곡터널
8988,관악구,126.91929099999999,37.464127000000005,난곡종점
8989,관악구,126.91857453690001,37.474247311199996,세이브마트
8990,관악구,126.94142738,37.4835908978,봉천역
8991,관악구,126.9651699485,37.469304232,은천아파트
8992,관악구,126.9423212961,37.4901513787,우리슈퍼
8993,관악구,126.9588552856,37.4764569896,인헌초등학교
8994,관악구,126.9329810024,37.4716882063,삼성동시장입구
8995,관악구,126.9202106507,37.4741556134,애동유치원
8996,관악구,126.96174723680001,37.4681263274,인헌아파트
8997,관악구,126.9256483814,37.4895707628,롯데백화점관악점
8998,관악구,126.9255833924,37.490105076599995,롯데백화점관악점
8999,관악구,126.93174966209999,37.4842633349,신림역
9000,관악구,126.93019352469999,37.4844651744,신림역
9001,관악구,126.942801316,37.4820371645,봉천역
9002,관악구,126.94215981139999,37.4825207457,봉천역
9003,관악구,126.95142804860001,37.4815931763,서울대학교입구전철역
9004,관악구,126.95227943389999,37.479909357,관악구청
9005,관악구,126.9524998415,37.4782514112,관악구청
9006,관악구,126.9489515813,37.4668572388,서울대학교
9007,관악구,126.938321,37.470982,신림2동차고지
9008,관악구,126.93867082290001,37.470828937,신림2동차고지
